Time,Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,Joint_External
2855423.0,-120.12721252441406,-123.4076919555664,16.279842376708984,122.1354751586914,80.23542785644531,-15.541528701782227,42.856204986572266
2855427.0,-120.21754455566406,-123.4141845703125,16.236597061157227,122.22521209716797,80.17742919921875,-15.582523345947266,42.89742660522461
2855431.0,-120.30804443359375,-123.42056274414062,16.192880630493164,122.31488037109375,80.119384765625,-15.62338638305664,42.93844223022461
2855435.0,-120.39872741699219,-123.42680358886719,16.148698806762695,122.40444946289062,80.06129455566406,-15.6641206741333,42.979251861572266
2855439.0,-120.48956298828125,-123.43295288085938,16.104045867919922,122.49394989013672,80.00316619873047,-15.704720497131348,43.01985549926758
2855443.0,-120.58057403564453,-123.43896484375,16.058923721313477,122.5833740234375,79.94499206542969,-15.745187759399414,43.06024932861328
2855447.0,-120.6717529296875,-123.44487762451172,16.013330459594727,122.67271423339844,79.88677215576172,-15.785523414611816,43.100433349609375
2855451.0,-120.7630844116211,-123.4506607055664,15.967267990112305,122.76195526123047,79.8285140991211,-15.825724601745605,43.14041519165039
2855455.0,-120.8546142578125,-123.45632934570312,15.920734405517578,122.85112762451172,79.77021026611328,-15.865793228149414,43.180179595947266
2855459.0,-120.9462890625,-123.46187591552734,15.87372875213623,122.9402084350586,79.71185302734375,-15.905728340148926,43.21973419189453
2855463.0,-121.03815460205078,-123.4673080444336,15.826250076293945,123.02919006347656,79.65345001220703,-15.945528984069824,43.25907516479492
2855467.0,-121.13016510009766,-123.4726333618164,15.778299331665039,123.11809539794922,79.5949935913086,-15.98519515991211,43.29820251464844
2855471.0,-121.22236633300781,-123.47784423828125,15.729874610900879,123.20691680908203,79.5364990234375,-16.02472686767578,43.33711242675781
2855475.0,-121.3147201538086,-123.48292541503906,15.680975914001465,123.29563903808594,79.47795104980469,-16.064123153686523,43.37581253051758
2855479.0,-121.40725708007812,-123.4878921508789,15.63160228729248,123.3842544555664,79.41935729980469,-16.103384017944336,43.41429901123047
